Código,Departamento,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
01,Departamento: Amazonas,38682,306105,34597
02,Departamento: Áncash,92974,905542,85003
03,Departamento: Apurímac,35677,328973,41109
04,Departamento: Arequipa,109771,1027473,245486
05,Departamento: Ayacucho,54200,489769,72207
06,Departamento: Cajamarca,123462,1139178,78372
07,Provincia Constitucional del Callao,78810,784441,131243
08,Departamento: Cusco,101892,943411,160224
09,Departamento: Huancavelica,31715,295095,20829
10,Departamento: Huánuco,67728,579197,74122
11,Departamento: Ica,78581,676716,95468
12,Departamento: Junín,112201,980873,152964
13,Departamento: La Libertad,162240,1439854,175986
14,Departamento: Lambayeque,107141,976781,113338
15,Departamento: Lima,695343,7320908,1469154
16,Departamento: Loreto,100960,706881,75669
17,Departamento: Madre de Dios,14520,101225,25325
18,Departamento: Moquegua,13024,141661,20178
19,Departamento: Pasco,22617,208655,22793
20,Departamento: Piura,179780,1512417,164612
21,Departamento: Puno,89662,970909,112126
22,Departamento: San Martín,81317,632827,99237
23,Departamento: Tacna,23824,253963,51545
24,Departamento: Tumbes,21695,184216,18952
25,Departamento: Ucayali,56484,379179,60796
