Código,Departamento,Provincia,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
101,Amazonas,Chachapoyas,4519,41295,9692
102,Amazonas,Bagua,7761,61137,5202
103,Amazonas,Bongara,2226,20145,3266
104,Amazonas,Condorcanqui,6693,34708,1069
105,Amazonas,Luya,4325,36941,3170
106,Amazonas,Mendoza,2864,23616,3518
107,Amazonas,Utcubamba,10294,88263,8680
201,Áncash,Huaraz,14223,131914,17799
202,Áncash,Aija,478,5491,347
203,Áncash,Raymondi,1385,11618,647
204,Áncash,Asunción,591,6332,455
205,Áncash,Bolognesi,1792,19711,2294
206,Áncash,Carhuaz,3872,39177,2135
207,Áncash,Fitzcarrald,1601,15529,587
208,Áncash,Casma,4707,42182,4100
209,Áncash,Corongo,633,6109,790
210,Áncash,Huari,5092,47773,5849
211,Áncash,Huarmey,2696,24868,2996
212,Áncash,Huaylas,4685,44028,2621
213,Áncash,Luzuriaga,1828,17896,560
214,Áncash,Ocros,544,5816,679
215,Áncash,Pallasca,2301,20063,1127
216,Áncash,Pomabamba,2219,21661,914
217,Áncash,Recuay,1330,14753,1102
218,Áncash,Santa,36005,362850,36952
219,Áncash,Sihuas,2577,23438,956
220,Áncash,Yungay,4415,44333,2093
301,Apurímac,Abancay,9429,84863,16228
302,Apurímac,Andahuaylas,13067,118287,11123
303,Apurímac,Antabamba,827,9549,934
304,Apurímac,Aymaraes,1820,19853,2634
305,Apurímac,Cotabambas,4658,39916,6082
306,Apurímac,Chincheros,4265,38143,2839
307,Apurímac,Grau,1611,18362,1269
401,Arequipa,Arequipa,84338,797296,199001
402,Arequipa,Camaná,5077,43523,10770
403,Arequipa,Caravelí,3552,29001,8793
404,Arequipa,Castilla,2721,26506,4402
405,Arequipa,Caylloma,7866,66697,12208
406,Arequipa,Condesuyos,1197,12062,2859
407,Arequipa,Islay,3872,41973,6189
408,Arequipa,Unión,1148,10415,1264
501,Ayacucho,Huamanga,25345,217321,39528
502,Ayacucho,Cangallo,2630,26244,1569
503,Ayacucho,Sancos,569,7243,597
