Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
ANCASH,HUARAZ,HUARAZ,76573,143161,86994
ANCASH,HUARAZ,COCHABAMBA,7,196,460
ANCASH,HUARAZ,COLCABAMBA,21,87,73
ANCASH,HUARAZ,HUANCHAY,15,320,435
ANCASH,HUARAZ,INDEPENDENCIA,8186,5228,3156
ANCASH,HUARAZ,JANGAS,397,679,423
ANCASH,HUARAZ,LA LIBERTAD,39,358,106
ANCASH,HUARAZ,OLLEROS,69,449,329
ANCASH,HUARAZ,PAMPAS,16,227,209
ANCASH,HUARAZ,PARIACOTO,178,323,965
ANCASH,HUARAZ,PIRA,117,639,588
ANCASH,HUARAZ,TARICA,381,986,542
ANCASH,AIJA,AIJA,164,209,172
ANCASH,AIJA,CORIS,19,308,215
ANCASH,AIJA,HUACLLAN,11,77,51
ANCASH,AIJA,LA MERCED,74,245,411
ANCASH,AIJA,SUCCHA,5,114,114
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,74,600,256
ANCASH,ANTONIO RAYMONDI,ACZO,31,393,117
ANCASH,ANTONIO RAYMONDI,CHACCHO,26,128,296
ANCASH,ANTONIO RAYMONDI,CHINGAS,57,394,142
ANCASH,ANTONIO RAYMONDI,MIRGAS,27,237,966
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,22,294,94
ANCASH,ASUNCION,CHACAS,160,523,702
ANCASH,ASUNCION,ACOCHACA,53,472,518
ANCASH,BOLOGNESI,CHIQUIAN,259,614,278
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,22,38,14
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,31,179,177
ANCASH,BOLOGNESI,AQUIA,87,266,275
ANCASH,BOLOGNESI,CAJACAY,95,295,106
ANCASH,BOLOGNESI,CANIS,21,67,5
ANCASH,BOLOGNESI,COLQUIOC,113,147,294
ANCASH,BOLOGNESI,HUALLANCA,321,735,710
ANCASH,BOLOGNESI,HUASTA,26,305,234
ANCASH,BOLOGNESI,HUAYLLACAYAN,12,169,190
ANCASH,BOLOGNESI,LA PRIMAVERA,22,72,21
ANCASH,BOLOGNESI,MANGAS,2,98,82
ANCASH,BOLOGNESI,PACLLON,16,221,101
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,20,70,39
ANCASH,BOLOGNESI,TICLLOS,22,128,26
ANCASH,CARHUAZ,CARHUAZ,859,1764,1332
ANCASH,CARHUAZ,ACOPAMPA,161,500,165
ANCASH,CARHUAZ,AMASHCA,35,176,240
ANCASH,CARHUAZ,ANTA,77,328,444
ANCASH,CARHUAZ,ATAQUERO,46,269,168
ANCASH,CARHUAZ,MARCARA,432,1849,1035
ANCASH,CARHUAZ,PARIAHUANCA,84,232,163
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,42,344,677
ANCASH,CARHUAZ,SHILLA,117,670,256
ANCASH,CARHUAZ,TINCO,259,542,268
ANCASH,CARHUAZ,YUNGAR,143,607,249
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,188,1736,1334
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,24,356,548
