Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
LIMA,LIMA,LIMA,27859,33289,2899
LIMA,LIMA,ANCON,4375,11272,2514
LIMA,LIMA,ATE,617071,1116683,243014
LIMA,LIMA,BARRANCO,788,583,151
LIMA,LIMA,BREÑA,3132,2731,1059
LIMA,LIMA,CARABAYLLO,17139,50463,14171
LIMA,LIMA,CHACLACAYO,1868,6703,984
LIMA,LIMA,CHORRILLOS,11602,26314,3788
LIMA,LIMA,CIENEGUILLA,2035,8489,3391
LIMA,LIMA,COMAS,37647,70326,13150
LIMA,LIMA,EL AGUSTINO,11140,27480,4609
LIMA,LIMA,INDEPENDENCIA,18589,36763,9491
LIMA,LIMA,JESUS MARIA,1128,584,284
LIMA,LIMA,LA MOLINA,2791,2246,294
LIMA,LIMA,LA VICTORIA,14479,14319,1681
LIMA,LIMA,LINCE,1270,663,116
LIMA,LIMA,LOS OLIVOS,27710,18069,2009
LIMA,LIMA,LURIGANCHO,7513,31663,14796
LIMA,LIMA,LURIN,3583,19295,4001
LIMA,LIMA,MAGDALENA DEL MAR,415,1072,259
LIMA,LIMA,PUEBLO LIBRE,1169,675,151
LIMA,LIMA,MIRAFLORES,703,370,54
LIMA,LIMA,PACHACAMAC,8827,22844,6759
LIMA,LIMA,PUCUSANA,603,4346,1418
LIMA,LIMA,PUENTE PIEDRA,28985,60676,10585
LIMA,LIMA,PUNTA HERMOSA,856,1527,576
LIMA,LIMA,PUNTA NEGRA,319,1826,392
LIMA,LIMA,RIMAC,12636,22197,6099
LIMA,LIMA,SAN BARTOLO,978,1105,171
LIMA,LIMA,SAN BORJA,1670,400,113
LIMA,LIMA,SAN ISIDRO,400,346,26
LIMA,LIMA,SAN JUAN DE LURIGANCHO,62244,155398,34527
LIMA,LIMA,SAN JUAN DE MIRAFLORES,21566,39791,8722
LIMA,LIMA,SAN LUIS,4492,2738,353
LIMA,LIMA,SAN MARTIN DE PORRES,63372,60336,5996
