Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
20101,ANCASH,HUARAZ,HUARAZ,76573,143161,86994
20102,ANCASH,HUARAZ,COCHABAMBA,7,196,460
20103,ANCASH,HUARAZ,COLCABAMBA,21,87,73
20104,ANCASH,HUARAZ,HUANCHAY,15,320,435
20105,ANCASH,HUARAZ,INDEPENDENCIA,8186,5228,3156
20106,ANCASH,HUARAZ,JANGAS,397,679,423
20107,ANCASH,HUARAZ,LA LIBERTAD,39,358,106
20108,ANCASH,HUARAZ,OLLEROS,69,449,329
,ANCASH,HUARAZ,PAMPAS,16,227,209
20110,ANCASH,HUARAZ,PARIACOTO,178,323,965
20111,ANCASH,HUARAZ,PIRA,117,639,588
20112,ANCASH,HUARAZ,TARICA,381,986,542
20201,ANCASH,AIJA,AIJA,164,209,172
20202,ANCASH,AIJA,CORIS,19,308,215
20203,ANCASH,AIJA,HUACLLAN,11,77,51
20204,ANCASH,AIJA,LA MERCED,74,245,411
20205,ANCASH,AIJA,SUCCHA,5,114,114
20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,74,600,256
20302,ANCASH,ANTONIO RAYMONDI,ACZO,31,393,117
20303,ANCASH,ANTONIO RAYMONDI,CHACCHO,26,128,296
20304,ANCASH,ANTONIO RAYMONDI,CHINGAS,57,394,142
20305,ANCASH,ANTONIO RAYMONDI,MIRGAS,27,237,966
20306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,22,294,94
20401,ANCASH,ASUNCION,CHACAS,160,523,702
20402,ANCASH,ASUNCION,ACOCHACA,53,472,518
20501,ANCASH,BOLOGNESI,CHIQUIAN,259,614,278
20502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,22,38,14
20503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,31,179,177
20504,ANCASH,BOLOGNESI,AQUIA,87,266,275
20505,ANCASH,BOLOGNESI,CAJACAY,95,295,106
20506,ANCASH,BOLOGNESI,CANIS,21,67,5
20507,ANCASH,BOLOGNESI,COLQUIOC,113,147,294
20508,ANCASH,BOLOGNESI,HUALLANCA,321,735,710
20509,ANCASH,BOLOGNESI,HUASTA,26,305,234
20510,ANCASH,BOLOGNESI,HUAYLLACAYAN,12,169,190
20511,ANCASH,BOLOGNESI,LA PRIMAVERA,22,72,21
20512,ANCASH,BOLOGNESI,MANGAS,2,98,82
20513,ANCASH,BOLOGNESI,PACLLON,16,221,101
20514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,20,70,39
20515,ANCASH,BOLOGNESI,TICLLOS,22,128,26
20601,ANCASH,CARHUAZ,CARHUAZ,859,1764,1332
20602,ANCASH,CARHUAZ,ACOPAMPA,161,500,165
20603,ANCASH,CARHUAZ,AMASHCA,35,176,240
20604,ANCASH,CARHUAZ,ANTA,77,328,444
20605,ANCASH,CARHUAZ,ATAQUERO,46,269,168
20606,ANCASH,CARHUAZ,MARCARA,432,1849,1035
20607,ANCASH,CARHUAZ,PARIAHUANCA,84,232,163
20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,42,344,677
20609,ANCASH,CARHUAZ,SHILLA,117,670,256
20610,ANCASH,CARHUAZ,TINCO,259,542,268
20611,ANCASH,CARHUAZ,YUNGAR,143,607,249
20701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,188,1736,1334
20702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,24,356,548
20703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,43,45,1317
20801,ANCASH,CASMA,CASMA,2303,6779,2289
20802,ANCASH,CASMA,BUENA VISTA ALTA,109,583,1040
20803,ANCASH,CASMA,COMANDANTE NOEL,253,257,239
20804,ANCASH,CASMA,YAUTAN,336,1220,1481
20901,ANCASH,CORONGO,CORONGO,31,250,139
20902,ANCASH,CORONGO,ACO,9,60,60
20903,ANCASH,CORONGO,BAMBAS,4,104,30
20904,ANCASH,CORONGO,CUSCA,56,596,332
20905,ANCASH,CORONGO,LA PAMPA,13,145,193
20906,ANCASH,CORONGO,YANAC,21,145,93
20907,ANCASH,CORONGO,YUPAN,12,102,15
21001,ANCASH,HUARI,HUARI,339,1317,1297
21002,ANCASH,HUARI,ANRA,32,333,145
21003,ANCASH,HUARI,CAJAY,78,576,351
21004,ANCASH,HUARI,CHAVIN DE HUANTAR,238,843,2011
