Código,Departamento,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
Código,Provincia,Aúnnohabíanacido,Sívivíahace5añosenestedistrito,Novivíahace5añosenestedistrito
0101,"Amazonas, provincia: Chachapoyas",4519,41295,9692
0102,"Amazonas, provincia: Bagua",7761,61137,5202
0103,"Amazonas, provincia: Bongara",2226,20145,3266
0104,"Amazonas, provincia: Condorcanqui",6693,34708,1069
0105,"Amazonas, provincia: Luya",4325,36941,3170
0106,"Amazonas, provincia: Rodríguez de Mendoza",2864,23616,3518
0107,"Amazonas, provincia: Utcubamba",10294,88263,8680
0201,"Áncash, provincia: Huaraz",14223,131914,17799
0202,"Áncash, provincia: Aija",478,5491,347
0203,"Áncash, provincia: Antonio Raymondi",1385,11618,647
0204,"Áncash, provincia: Asunción",591,6332,455
0205,"Áncash, provincia: Bolognesi",1792,19711,2294
0206,"Áncash, provincia: Carhuaz",3872,39177,2135
0207,"Áncash, provincia: Carlos Fermín Fitzcarrald",1601,15529,587
0208,"Áncash, provincia: Casma",4707,42182,4100
0209,"Áncash, provincia: Corongo",633,6109,790
0210,"Áncash, provincia: Huari",5092,47773,5849
0211,"Áncash, provincia: Huarmey",2696,24868,2996
0212,"Áncash, provincia: Huaylas",4685,44028,2621
0213,"Áncash, provincia: Mariscal Luzuriaga",1828,17896,560
0214,"Áncash, provincia: Ocros",544,5816,679
0215,"Áncash, provincia: Pallasca",2301,20063,1127
0216,"Áncash, provincia: Pomabamba",2219,21661,914
0217,"Áncash, provincia: Recuay",1330,14753,1102
0218,"Áncash, provincia: Santa",36005,362850,36952
0219,"Áncash, provincia: Sihuas",2577,23438,956
0220,"Áncash, provincia: Yungay",4415,44333,2093
0301,"Apurímac, provincia: Abancay",9429,84863,16228
0302,"Apurímac, provincia: Andahuaylas",13067,118287,11123
0303,"Apurímac, provincia: Antabamba",827,9549,934
0304,"Apurímac, provincia: Aymaraes",1820,19853,2634
0305,"Apurímac, provincia: Cotabambas",4658,39916,6082
0306,"Apurímac, provincia: Chincheros",4265,38143,2839
0307,"Apurímac, provincia: Grau",1611,18362,1269
0401,"Arequipa, provincia: Arequipa",84338,797296,199001
0402,"Arequipa, provincia: Camaná",5077,43523,10770
0403,"Arequipa, provincia: Caravelí",3552,29001,8793
0404,"Arequipa, provincia: Castilla",2721,26506,4402
0405,"Arequipa, provincia: Caylloma",7866,66697,12208
0406,"Arequipa, provincia: Condesuyos",1197,12062,2859
0407,"Arequipa, provincia: Islay",3872,41973,6189
0408,"Arequipa, provincia: La Unión",1148,10415,1264
0501,"Ayacucho, provincia: Huamanga",25345,217321,39528
0502,"Ayacucho, provincia: Cangallo",2630,26244,1569
0503,"Ayacucho, provincia: Huanca Sancos",569,7243,597
0504,"Ayacucho, provincia: Huanta",8601,70919,9946
0505,"Ayacucho, provincia: La Mar",6793,56101,7759
0506,"Ayacucho, provincia: Lucanas",3941,42188,5199
0507,"Ayacucho, provincia: Parinacochas",2196,22028,3435
0508,"Ayacucho, provincia: Páucar del Sara Sara",711,7511,1387
0509,"Ayacucho, provincia: Sucre",691,7934,820
0510,"Ayacucho, provincia: Víctor Fajardo",1446,17398,1265
0511,"Ayacucho, provincia: Vilcas Huamán",1277,14882,702
0601,"Cajamarca, provincia: Cajamarca",33047,287604,27782
0602,"Cajamarca, provincia: Cajabamba",8251,63720,3716
0603,"Cajamarca, provincia: Celendín",7337,67364,4383
0604,"Cajamarca, provincia: Chota",12100,125235,5649
0605,"Cajamarca, provincia: Contumazá",2307,24045,1341
0606,"Cajamarca, provincia: Cutervo",10103,106366,4254
0607,"Cajamarca, provincia: Hualgayoc",6037,69688,2219
0608,"Cajamarca, provincia: Jaén",17240,152557,15635
0609,"Cajamarca, provincia: San Ignacio",14120,110285,6215
0610,"Cajamarca, provincia: San Marcos",4623,40781,2699
0611,"Cajamarca, provincia: San Miguel",3527,40835,1681
0612,"Cajamarca, provincia: San Pablo",1867,18698,537
0613,"Cajamarca, provincia: Santa Cruz",2903,32000,2261
0701,Provincia Constitucional del Callao,78810,784441,131243
0801,"Cusco, provincia: Cusco",36800,310429,100359
0802,"Cusco, provincia: Acomayo",1749,19871,1320
0803,"Cusco, provincia: Anta",4941,46146,5119
0804,"Cusco, provincia: Calca",5539,52445,5171
0805,"Cusco, provincia: Canas",2452,29075,957
0806,"Cusco, provincia: Canchis",7746,80079,7949
0807,"Cusco, provincia: Chumbivilcas",5319,57272,3819
0808,"Cusco, provincia: Espinar",5263,45782,6537
0809,"Cusco, provincia: La Convención",11697,122160,13291
0810,"Cusco, provincia: Paruro",1918,22512,1137
0811,"Cusco, provincia: Paucartambo",4463,36728,1313
0812,"Cusco, provincia: Quispicanchi",8641,73348,5441
0813,"Cusco, provincia: Urubamba",5364,47564,7811
0901,"Huancavelica, provincia: Huancavelica",10205,96874,7975
0902,"Huancavelica, provincia: Acobamba",3577,32728,1903
0903,"Huancavelica, provincia: Angaraes",4865,41985,2357
0904,"Huancavelica, provincia: Castrovirreyna",1238,11714,1030
0905,"Huancavelica, provincia: Churcampa",2998,27813,1727
0906,"Huancavelica, provincia: Huaytará",1377,14903,967
0907,"Huancavelica, provincia: Tayacaja",7455,69078,4870
1001,"Huánuco, provincia: Huánuco",26044,228449,38904
1002,"Huánuco, provincia: Ambo",4921,42340,3619
1003,"Huánuco, provincia: Dos De Mayo",3129,28625,1504
1004,"Huánuco, provincia: Huacaybamba",1597,14389,565
1005,"Huánuco, provincia: Huamalíes",4950,44577,2512
1006,"Huánuco, provincia: Leoncio Prado",11604,99351,16838
1007,"Huánuco, provincia: Marañón",2870,21234,2518
1008,"Huánuco, provincia: Pachitea",5294,42085,1780
1009,"Huánuco, provincia: Puerto Inca",3954,24388,4196
1010,"Huánuco, provincia: Lauricocha",1644,15979,1290
1011,"Huánuco, provincia: Yarowilca",1721,17780,396
1101,"Ica, provincia: Ica",34064,305628,51827
1102,"Ica, provincia: Chincha",22331,183629,20153
1103,"Ica, provincia: Nazca",6009,54001,9147
1104,"Ica, provincia: Palpa",1149,10945,1138
1105,"Ica, provincia: Pisco",15028,122513,13203
1201,"Junín, provincia: Huancayo",44714,414751,86150
1202,"Junín, provincia: Concepción",4808,45505,5278
1203,"Junín, provincia: Chanchamayo",13939,121866,15684
1204,"Junín, provincia: Jauja",6635,68102,8520
1205,"Junín, provincia: Junín",1936,19446,1751
1206,"Junín, provincia: Satipo",25670,163088,15227
1207,"Junín, provincia: Tarma",7246,75451,6893
1208,"Junín, provincia: Yauli",2905,30705,6780
1209,"Junín, provincia: Chupaca",4348,41959,6681
1301,"La Lbertad, provincia: Trujillo",81449,767129,121438
1302,"La Lbertad, provincia: Ascope",9784,98496,7506
1303,"La Lbertad, provincia: Bolívar",1605,12016,836
1304,"La Lbertad, provincia: Chepén",6355,66066,5997
1305,"La Lbertad, provincia: Julcán",3009,24639,376
1306,"La Lbertad, provincia: Otuzco",7690,68528,1644
1307,"La Lbertad, provincia: Pacasmayo",8755,85414,8728
1308,"La Lbertad, provincia: Pataz",7926,60030,8147
1309,"La Lbertad, provincia: Sánchez Carrión",17653,120560,6192
1310,"La Lbertad, provincia: Santiago de Chuco",5175,43378,2343
1311,"La Lbertad, provincia: Gran Chimú",2460,23036,1396
1312,"La Lbertad, provincia: Virú",10379,70562,11383
1401,"Lambayeque, provincia: Chiclayo",64450,649045,86180
1402,"Lambayeque, provincia: Ferreñafe",9984,81177,6254
1403,"Lambayeque, provincia: Lambayeque",32707,246559,20904
1501,"Lima, provincia: Lima",618101,6587608,1369265
1502,"Lima, provincia: Barranca",12210,118167,14004
1503,"Lima, provincia: Cajatambo",495,5632,432
1504,"Lima, provincia: Canta",851,9524,1173
1505,"Lima, provincia: Cañete",22016,191418,26579
1506,"Lima, provincia: Huaral",14768,153428,15702
1507,"Lima, provincia: Huarochirí",4586,46881,6678
1508,"Lima, provincia: Huaura",19549,178089,30047
1509,"Lima, provincia: Oyón",1456,13630,2653
